Name,Rating,Genre,Release date,Runtime,Director,Url
Shang-Chi and the Legend of the Ten Rings,79.0,"Action,Adventure,Fantasy",09/03/2021 (IN),2h 12m,Destin Daniel Cretton,https://www.themoviedb.org//movie/566525
Snake Eyes: G.I. Joe Origins,68.0,"Action,Adventure",07/23/2021 (US),2h 1m,Evan Spiliotopoulos,https://www.themoviedb.org//movie/568620
Black Widow,76.0,"Action,Adventure,Science Fiction",07/09/2021 (US),2h 14m,Cate Shortland,https://www.themoviedb.org//movie/497698
Godzilla vs. Kong,79.0,"Action,Adventure,Fantasy",03/24/2021 (IN),1h 53m,Adam Wingard,https://www.themoviedb.org//movie/399566
Ciao Alberto,79.0,"Animation,Comedy,Family,Fantasy",11/12/2021 (ES),7m,McKenna Jean Harris,https://www.themoviedb.org//movie/876716
Raya and the Last Dragon,81.0,"Family,Fantasy,Animation,Action,Adventure",03/05/2021 (US),1h 47m,Carlos López Estrada,https://www.themoviedb.org//movie/527774
Solitary,59.0,Science Fiction,08/31/2020 (US),1h 29m,Luke Armstrong,https://www.themoviedb.org//movie/725273
Bloodthirsty,65.0,Horror,04/23/2021 (US),1h 22m,Amelia Moses,https://www.themoviedb.org//movie/741636
Wish Dragon,82.0,"Animation,Family,Comedy,Fantasy",01/15/2021 (CN),1h 39m,Chris Appelhans,https://www.themoviedb.org//movie/550205
Peter Rabbit 2: The Runaway,74.0,"Family,Comedy,Adventure,Animation,Fantasy",06/18/2021 (US),1h 33m,Will Gluck,https://www.themoviedb.org//movie/522478
Camp Confidential: America's Secret Nazis,65.0,"Documentary,Animation,History",11/02/2021 (ES),34m,Mor Loushy,https://www.themoviedb.org//movie/888910
Legion,58.0,"Horror,Action,Fantasy",01/22/2010 (US),1h 40m,Scott Stewart,https://www.themoviedb.org//movie/22894
Ninja Assassin,65.0,Action,09/29/2009 (US),1h 39m,James McTeigue,https://www.themoviedb.org//movie/22832
Star Trek,74.0,"Science Fiction,Action,Adventure",06/05/2009 (IN),2h 7m,Gene Roddenberry,https://www.themoviedb.org//movie/13475
G.I. Joe: The Rise of Cobra,57.0,"Adventure,Action,Thriller,Science Fiction",08/07/2009 (US),1h 58m,Stephen Sommers,https://www.themoviedb.org//movie/14869
The Forgotten Battle,73.0,"War,History,Drama",06/05/2021 (NL),2h 4m,Matthijs van Heijningen Jr.,https://www.themoviedb.org//movie/633515
Sweet & Sour,79.0,"Comedy,Romance",06/04/2021 (US),1h 41m,Lee Kae-byeok,https://www.themoviedb.org//movie/662237
Iron Man 3,69.0,"Action,Adventure,Science Fiction",05/03/2013 (US),2h 10m,Shane Black,https://www.themoviedb.org//movie/68721
Cinderella,67.0,"Fantasy,Romance,Comedy",09/03/2021 (US),1h 53m,Kay Cannon,https://www.themoviedb.org//movie/593910
New Gods: Nezha Reborn,83.0,"Animation,Action,Fantasy",02/12/2021 (CN),1h 56m,Zhao Ji,https://www.themoviedb.org//movie/663558
Red Shoes and the Seven Dwarfs,78.0,"Animation,Romance,Family",07/25/2019 (KR),1h 32m,Hong Sung-ho,https://www.themoviedb.org//movie/486589
Yu-Gi-Oh!: The Dark Side of Dimensions,75.0,"Adventure,Animation",01/27/2017 (US),2h,Satoshi Kuwabara,https://www.themoviedb.org//movie/366170
Tiffany + Chucky,85.0,Horror,07/19/2019 (US),12m,Satoshi Kuwabara,https://www.themoviedb.org//movie/622386
Brothers by Blood,60.0,"Crime,Action,Drama",09/08/2020 (US),1h 45m,Jérémie Guez,https://www.themoviedb.org//movie/592656
The Larva Island Movie,74.0,"Animation,Family",07/23/2020 (IN),1h 29m,Ahn Byoung-wook,https://www.themoviedb.org//movie/718867
Benny Loves You,63.0,"Horror,Comedy",05/07/2021 (US),1h 34m,Karl Holt,https://www.themoviedb.org//movie/647302
Spirit: Stallion of the Cimarron,77.0,"Western,Animation,Adventure,Comedy,Family,Drama",05/24/2002 (US),1h 23m,Kelly Asbury,https://www.themoviedb.org//movie/9023
Child's Play 3,59.0,"Horror,Thriller",08/30/1991 (US),1h 30m,Jack Bender,https://www.themoviedb.org//movie/11187
