Name,Rating,Genre,Release date,Runtime,Director,Budget ($),Revenue ($) ,Url
Shang-Chi and the Legend of the Ten Rings,79.0,"Action,Adventure,Fantasy",09/03/2021 (IN),2h 12m,Destin Daniel Cretton,"$150,000,000.00","$430,238,384.00",https://www.themoviedb.org//movie/566525
Snake Eyes: G.I. Joe Origins,68.0,"Action,Adventure",07/23/2021 (US),2h 1m,Evan Spiliotopoulos,"$88,000,000.00","$36,964,325.00",https://www.themoviedb.org//movie/568620
Jungle Cruise,77.0,"Adventure,Fantasy,Comedy,Action",09/24/2021 (IN),2h 7m,Jaume Collet-Serra,"$200,000,000.00","$213,644,366.00",https://www.themoviedb.org//movie/451048
Separation,59.0,Horror,04/30/2021 (US),1h 47m,William Brent Bell,-,-,https://www.themoviedb.org//movie/760195
Demonic,49.0,"Horror,Thriller",08/20/2021 (US),1h 44m,Neill Blomkamp,-,-,https://www.themoviedb.org//movie/774021
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,83.0,"Animation,Comedy,Mystery,Family,Fantasy",09/14/2021 (US),1h 12m,Joseph Barbera,-,-,https://www.themoviedb.org//movie/843906
Harry Potter and the Chamber of Secrets,77.0,"Adventure,Fantasy",04/25/2003 (IN),2h 41m,Chris Columbus,"$100,000,000.00","$876,688,482.00",https://www.themoviedb.org//movie/672
After,72.0,"Romance,Drama",04/12/2019 (US),1h 46m,Jenny Gage,"$14,000,000.00","$69,497,587.00",https://www.themoviedb.org//movie/537915
My Hero Academia: Two Heroes,80.0,"Animation,Action,Adventure,Fantasy",09/25/2018 (US),1h 36m,Kohei Horikoshi,Language,"$12,000,000.00",https://www.themoviedb.org//movie/505262
The Courier,72.0,"Thriller,History,Drama",03/19/2021 (US),1h 52m,Dominic Cooke,-,"$24,901,420.00",https://www.themoviedb.org//movie/522241
Catalina la Catrina: especial Día de Muertos,72.0,"Family,Animation",10/01/2021 (MX),1h 52m,Dominic Cooke,-,"$24,901,420.00",https://www.themoviedb.org//movie/880009
Kids Are Back,54.0,Comedy,06/02/2021 (FR),1h 23m,Michèle Laroque,Language,"$8,116,935.00",https://www.themoviedb.org//movie/613583
Joker,82.0,"Crime,Thriller,Drama",10/02/2019 (IN),2h 2m,Todd Phillips,"$55,000,000.00","$1,074,251,311.00",https://www.themoviedb.org//movie/475557
The Last Airbender,47.0,"Action,Adventure,Fantasy",07/01/2010 (US),1h 43m,M. Night Shyamalan,"$150,000,000.00","$319,713,881.00",https://www.themoviedb.org//movie/10196
Abraham Lincoln: Vampire Hunter,57.0,"Action,Fantasy,Horror",06/22/2012 (US),1h 34m,Seth Grahame-Smith,"$69,000,000.00","$116,471,580.00",https://www.themoviedb.org//movie/72331
Dragon Ball Z: Broly – The Legendary Super Saiyan,72.0,"Animation,Science Fiction,Action",03/06/1993 (JP),1h 10m,Takao Koyama,Language,-,https://www.themoviedb.org//movie/34433
Sweet & Sour,79.0,"Comedy,Romance",06/04/2021 (US),1h 41m,Lee Kae-byeok,Language,-,https://www.themoviedb.org//movie/662237
The Conjuring,75.0,"Horror,Thriller",08/02/2013 (IN),1h 52m,James Wan,"$13,000,000.00","$319,494,638.00",https://www.themoviedb.org//movie/138843
Love & Other Drugs,70.0,"Drama,Comedy,Romance",11/24/2010 (US),1h 52m,Edward Zwick,"$30,000,000.00","$102,820,008.00",https://www.themoviedb.org//movie/43347
Toy Story 2,76.0,"Animation,Comedy,Family",11/24/1999 (US),1h 32m,John Lasseter,"$90,000,000.00","$497,366,869.00",https://www.themoviedb.org//movie/863
The Craft: Legacy,64.0,"Horror,Drama,Fantasy",10/28/2020 (GB),1h 34m,Zoe Lister-Jones,-,-,https://www.themoviedb.org//movie/590995
Thor: The Dark World,66.0,"Action,Adventure,Fantasy",11/15/2013 (IN),1h 52m,Walt Simonson,"$170,000,000.00","$644,571,402.00",https://www.themoviedb.org//movie/76338
Pixels,57.0,"Action,Comedy,Science Fiction",08/07/2015 (IN),1h 45m,Chris Columbus,"$88,000,000.00","$243,637,091.00",https://www.themoviedb.org//movie/257344
Taken 3,62.0,"Thriller,Action",01/08/2015 (IN),1h 49m,Robert Mark Kamen,"$48,000,000.00","$325,771,424.00",https://www.themoviedb.org//movie/260346
The Conjuring 2,73.0,"Horror,Mystery,Thriller",06/10/2016 (IN),2h 14m,James Wan,"$40,000,000.00","$320,392,818.00",https://www.themoviedb.org//movie/259693
Justice Society: World War II,78.0,"Animation,War,Science Fiction",04/27/2021 (US),1h 24m,Jeff Wamester,-,-,https://www.themoviedb.org//movie/736069
100% Wolf,59.0,"Animation,Family,Fantasy",06/26/2020 (VN),1h 36m,Alexs Stadermann,-,"$4,608,579.00",https://www.themoviedb.org//movie/520946
